,0,1,2,3
1,13652,Bulgaria,2,19
2,13652,Bulgaria,3,22
3,13652,Bulgaria,4,20
4,13652,Serbia,1,19
5,13652,Serbia,2,25
6,13652,Serbia,3,25
7,13652,Serbia,4,25
0,13653,Canada,1,19
1,13653,Canada,2,20
2,13653,Canada,3,28
3,13653,Germany,1,25
4,13653,Germany,2,25
5,13653,Germany,3,30
0,13654,Japan,1,22
1,13654,Japan,2,26
2,13654,Japan,3,25
3,13654,Japan,4,25
4,13654,Netherlands,1,25
5,13654,Netherlands,2,24
6,13654,Netherlands,3,22
7,13654,Netherlands,4,17
0,13655,Brazil,1,25
1,13655,Brazil,2,25
2,13655,Brazil,3,25
3,13655,Australia,1,14
4,13655,Australia,2,18
5,13655,Australia,3,21
0,13656,Poland,1,25
1,13656,Poland,2,25
2,13656,Poland,3,25
3,13656,Argentina,1,21
4,13656,Argentina,2,22
5,13656,Argentina,3,23
0,13657,France,1,25
1,13657,France,2,26
2,13657,France,3,25
3,13657,Italy,1,22
4,13657,Italy,2,24
5,13657,Italy,3,19
0,13658,Japan,1,21
1,13658,Japan,2,25
2,13658,Japan,3,25
3,13658,Japan,4,25
4,13658,China,1,25
5,13658,China,2,19
6,13658,China,3,19
7,13658,China,4,18
0,13659,Netherlands,1,12
1,13659,Netherlands,2,18
2,13659,Netherlands,3,16
3,13659,USA,1,25
4,13659,USA,2,25
5,13659,USA,3,25
0,13660,Brazil,1,25
1,13660,Brazil,2,21
2,13660,Brazil,3,25
3,13660,Brazil,4,25
4,13660,Slovenia,1,21
5,13660,Slovenia,2,25
6,13660,Slovenia,3,20
7,13660,Slovenia,4,16
0,13661,Germany,1,25
1,13661,Germany,2,22
2,13661,Germany,3,17
3,13661,Germany,4,20
4,13661,Argentina,1,18
5,13661,Argentina,2,25
6,13661,Argentina,3,25
7,13661,Argentina,4,25
0,13662,Serbia,1,25
1,13662,Serbia,2,22
2,13662,Serbia,3,23
3,13662,Serbia,4,23
4,13662,France,1,21
5,13662,France,2,25
6,13662,France,3,25
7,13662,France,4,25
0,13663,Poland,1,25
1,13663,Poland,2,23
2,13663,Poland,3,20
3,13663,Poland,4,20
4,13663,Italy,1,21
5,13663,Italy,2,25
6,13663,Italy,3,25
7,13663,Italy,4,25
0,13664,Netherlands,1,26
1,13664,Netherlands,2,25
2,13664,Netherlands,3,25
3,13664,Iran,1,24
4,13664,Iran,2,21
5,13664,Iran,3,21
0,13665,Japan,1,25
1,13665,Japan,2,15
2,13665,Japan,3,21
3,13665,Japan,4,28
4,13665,Japan,5,9
5,13665,USA,1,17
6,13665,USA,2,25
7,13665,USA,3,25
8,13665,USA,4,26
9,13665,USA,5,15
0,13666,Australia,1,22
